,user_id,sentiment_analysis,posted,item_id,recommend
0,76561197970982479,2,2011,1250,1
3,js41637,2,2014,251610,1
6,evcentric,2,3,248820,1
12,doctr,2,2013,250320,1
18,maplemage,1,2014,211420,1
22,Wackky,1,2014,249130,1
27,76561198079601835,1,20,730,1
28,MeaTCompany,2,24,730,1
29,76561198089393905,0,2015,72850,1
31,76561198156664158,2,16,252950,1
32,76561198077246154,1,11,440,1
34,WeiEDKrSat,1,2013,4000,1
35,thequeenpanda,1,2012,42910,1
36,death-hunter,2,2015,232090,1
39,DJKamBer,2,2014,304930,1
45,Rainbow-Dashie,2,2015,730,1
48,76561198043472122,1,2014,33440,0
49,MarbleShrine,2,2015,220200,1
50,PPanther,2,2014,211820,1
51,devvonst,2,2014,440,1
54,Fr0stedLine,2,27,220,1
55,starkillershadow553,0,2015,238090,1
58,76561198058373434,2,2015,8870,1
59,76561198048353577,0,2015,368230,1
62,76561198066046412,0,2015,359320,0
64,tru_mu_,2,2015,287980,1
65,76561198070565427,1,31,218620,1
70,SavageEeEe,2,2015,221100,1
71,76561198076909484,2,2014,570,1
72,KanadeTheNeko,2,2014,331470,1
74,Leaf_Light_Moscow,2,9,323370,1
75,GoAwayZach,2,2014,304930,1
76,76561198054540475,0,2015,12210,1
79,76561198085547365,2,16,238460,1
81,76561198061252210,2,2015,730,1
82,OfficialShroomsy,2,2013,113200,1
83,boydeer,1,2014,440,1
85,VVillis,1,2015,213670,1
86,76561198083226897,1,2015,105600,1
87,76561198075277292,0,2015,730,1
89,76561198028895010,2,2013,231180,1
91,76561198170198366,2,18,271290,1
92,diego9031,1,30,4000,1
102,jarrodtrim,2,2012,440,1
103,76561198078738103,2,20,304930,1
104,76561198067936203,2,2015,440,1
105,76561198079770573,1,2015,1840,1
106,76561198087586464,2,2013,440,1
107,Derp-e,2,2015,440,1
108,76561198070194565,1,2014,233250,1
115,Rivtex,1,2015,298630,1
116,UTNerd24,2,2014,244210,1
122,sandwiches1,1,2015,417860,0
123,76561198138053270,2,2014,218620,1
124,lucaswerg,2,2014,218620,1
126,Life-Of-Blu,2,2015,377160,1
128,CaptianAutismo,0,2015,252490,1
129,76561198075895633,2,2014,440,1
130,TheDropix101,2,11,242920,1
131,kube134,2,2014,251990,1
132,iamthekingofbrowntown,0,2015,344760,0
136,MainScout,1,26,550,1
137,yookobz,2,2015,377160,1
139,Posiblydead,2,2014,277430,1
142,Mossy_Gaming,2,2015,440,1
143,76561198102421718,2,2015,270550,1
146,76561198087407319,1,2014,440,1
147,76561198056741844,1,2014,730,1
148,sad-commie,0,31,294100,1
151,76561198030567998,1,2014,332800,1
156,76561198010674657,2,27,377160,0
158,Coldaniel,2,2015,35450,1
161,therealmorty,2,2015,351570,1
163,Berserklejerker,2,2015,391540,1
164,76561198061730629,0,2014,550,1
165,YoHuNz,1,2014,440,1
167,possessioniskey,2,2015,72850,1
170,76561198093112529,2,2014,440,1
171,76561198060447950,2,2015,200510,1
172,whiteofwolfing,2,2015,730,1
173,sergarino,2,2015,383080,1
174,76561198081962345,1,26,200210,1
176,76561198073210139,2,18,304050,1
177,Nozomikat,2,2015,265610,1
185,xfluttersx,2,2015,351640,1
192,76561198056290589,2,2014,730,1
193,ii_voltage_ii,2,2014,253710,0
197,76561198097762318,2,2015,440,1
199,Hirukaz,1,2013,550,1
200,StelerForYou,2,2015,730,1
202,76561198183396245,2,2015,440,1
203,Xx-Woods,1,20,346330,0
211,kevinator23,0,2015,320760,1
219,76561198090715178,2,2014,4000,1
221,CatsWhale,2,2015,333950,1
225,76561198073784601,2,2015,221100,1
