,genres,release_date,item_id
88310,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018,761140
88311,"['Free to Play', 'Indie', 'RPG', 'Strategy']",2018,643980
88312,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",2017,670290
88313,"['Action', 'Adventure', 'Casual']",2017,767400
88314,Sin dato,0,773570
88315,"['Action', 'Adventure', 'Simulation']",2018,772540
88316,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018,774276
88317,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018,774277
88318,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018,774278
88319,"['Casual', 'Indie', 'Racing', 'Simulation']",2018,768800
88320,"['Action', 'Indie', 'Simulation', 'Early Access']",0,768570
88321,Sin dato,0,724910
88322,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",2018,770380
88323,"['Casual', 'Indie']",2018,768880
88324,"['Casual', 'Indie', 'Simulation']",2018,765320
88325,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018,773650
88326,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018,774271
88327,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018,773690
88328,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018,774279
88329,Sin dato,0,772590
88330,Sin dato,0,640250
88331,"['Action', 'Adventure', 'Indie']",2018,768060
88332,Sin dato,0,711440
88333,"['Racing', 'Simulation', 'Sports']",2017,775880
88334,"['Racing', 'Simulation', 'Sports']",2017,775881
88335,"['Action', 'Indie']",2018,653960
88336,Sin dato,2018,777910
88337,"['Action', 'Indie', 'Racing']",1997,282010
88338,['Action'],1998,70
88339,"['Action', 'Indie', 'RPG']",2016,752360
88340,Sin dato,0,594200
88341,"['Casual', 'Indie', 'Strategy']",2018,520680
88342,['Action'],2018,690410
88343,"['Casual', 'Indie', 'Simulation']",2018,766850
88344,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",2018,413120
88345,"['Adventure', 'Casual', 'Indie']",2017,773120
88346,Sin dato,0,680970
88347,"['Action', 'Adventure', 'RPG']",2018,754360
88348,"['Adventure', 'Casual', 'Indie', 'RPG']",2018,716110
88349,['Strategy'],2006,1640
88350,['Strategy'],2006,1630
88351,"['Action', 'Indie', 'RPG']",2006,2400
88352,['Strategy'],0,662570
88353,"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",0,381620
88354,"['Adventure', 'Free to Play', 'RPG', 'Early Access']",0,714020
88355,Sin dato,0,541930
88356,"['Action', 'Indie', 'Strategy', 'Early Access']",2017,759920
88357,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",2018,659780
88358,"['Action', 'Adventure', 'Indie', 'RPG']",2017,603280
88359,"['Casual', 'Strategy', 'Early Access']",2017,753110
88360,"['Action', 'Indie']",2017,753100
88361,Sin dato,0,769350
88362,"['Action', 'Adventure', 'Casual']",2017,764280
88363,Sin dato,0,374970
88364,"['Adventure', 'Casual', 'Free to Play', 'Indie']",2017,758550
88365,['Action'],2005,3800
88366,"['Indie', 'Strategy']",2006,1520
88367,"['Action', 'Indie', 'RPG']",2006,2420
88368,"['Indie', 'Simulation']",2006,4000
88369,['Racing'],2006,4230
88370,"['Casual', 'Indie']",2006,4900
88371,"['Casual', 'Indie']",2006,2520
88372,['Strategy'],2003,6200
88373,['Strategy'],2006,6210
88374,"['Adventure', 'RPG']",2006,6300
88375,['Racing'],2006,2990
88376,['Racing'],2005,6220
88377,"['Action', 'Adventure']",2007,6510
88378,['Strategy'],2006,3980
88379,['RPG'],2002,1700
88380,"['Action', 'Adventure', 'RPG']",2000,6310
88381,['Strategy'],2006,3990
88382,['Strategy'],2003,7610
88383,['Strategy'],2006,7600
88384,Sin dato,0,0
88385,['Strategy'],1998,7620
88386,"['Casual', 'Indie']",2007,2540
88387,['Strategy'],1995,7650
88388,"['Action', 'Adventure']",2007,8000
88389,['Action'],2006,6550
88390,"['Action', 'Adventure']",2006,8200
88391,['Action'],1996,2290
88392,"['Indie', 'RPG']",2007,2570
88393,"['Action', 'Adventure']",2006,8210
88394,['Action'],1995,2280
88395,['Action'],1995,9160
88396,['Action'],1994,2300
88397,['Action'],1994,2270
88398,['Action'],2001,9010
88399,['Action'],1997,9040
88400,['Action'],1993,9000
88401,['Action'],2003,3810
88402,['Action'],2007,9030
88403,['Action'],2007,2310
88404,['Strategy'],2007,3230
88405,['Strategy'],2006,9310
88406,"['Action', 'RPG']",2007,7670
88407,['Strategy'],2006,4570
88408,['Strategy'],2006,4580
88409,['Strategy'],2004,4760
88410,['Strategy'],2006,4770
88411,['Casual'],2007,50970
88412,['Action'],1998,12170
88413,['Action'],1999,12180
88414,['Action'],2004,12130
88415,['Racing'],2003,12160
88416,['Action'],2003,12150
88417,"['Action', 'Adventure']",2006,7000
88418,['Action'],2001,12140
88419,['Strategy'],2008,17480
88420,['Casual'],2007,12500
88421,"['RPG', 'Casual', 'Adventure']",2007,12310
88422,['Strategy'],2007,12510
88423,"['Action', 'Adventure', 'Strategy']",2007,12530
88424,['Racing'],2007,12520
88425,['Action'],2008,8100
88426,['Action'],2007,2780
88427,['Simulation'],2006,9730
88428,['Action'],2006,9710
88429,"['Action', 'Adventure']",2007,9800
88430,['Action'],2006,9760
88431,"['Simulation', 'Strategy']",2006,2700
88432,['Action'],2005,2710
88433,['Action'],2003,13200
88434,['Action'],1998,13250
88435,"['Casual', 'Indie']",2008,13000
88436,['Action'],2003,13560
88437,['Action'],2004,13520
88438,['Action'],2000,13240
88439,['Action'],2006,13540
88440,['Simulation'],2005,15210
88441,"['Casual', 'Simulation']",2008,16180
88442,['Casual'],2008,3520
88443,['Casual'],2008,15970
88444,['Casual'],2008,15950
88445,['Casual'],2008,15960
88446,['Casual'],2008,15900
88447,['Casual'],2005,15910
88448,['Casual'],2007,15930
88449,['Simulation'],2007,15160
88450,['Casual'],2005,15920
88451,"['Action', 'Adventure']",2007,15080
88452,['Simulation'],2007,15200
88453,['Simulation'],2006,15320
88454,['Simulation'],2008,15240
88455,['Adventure'],2005,8310
88456,['Racing'],2005,12600
88457,['Adventure'],2006,8320
88458,['Racing'],2008,12590
88459,Sin dato,2008,12580
88460,['Simulation'],2007,12560
88461,Sin dato,2008,12570
88462,['Casual'],2007,12540
88463,['Adventure'],2008,11050
88464,['Sports'],2008,10520
88465,"['Adventure', 'RPG']",2008,11040
88466,"['Adventure', 'Indie']",2008,19500
88467,"['Simulation', 'Strategy']",2007,11260
88468,"['Action', 'Indie']",2008,19200
88469,['Racing'],2008,12360
88470,['Adventure'],1998,15710
88471,['Adventure'],1997,15700
88472,['Racing'],2008,8660
88473,['Strategy'],2001,7770
88474,['Strategy'],1997,7660
88475,['Strategy'],1993,7760
88476,"['Action', 'RPG']",2008,20510
88477,['Action'],2008,17330
88478,['Action'],2007,17300
88479,['Strategy'],1998,7730
88480,"['Action', 'RPG']",2008,20900
88481,['Indie'],2008,1530
88482,['Racing'],2008,8690
88483,"['Strategy', 'Simulation']",2008,17120
88484,['Strategy'],2008,16810
88485,['Action'],2003,19830
88486,"['Action', 'Adventure']",2008,21000
88487,"['Simulation', 'Strategy']",2008,4460
88488,"['RPG', 'Strategy']",2008,17140
88489,['Action'],2008,15390
88490,"['Indie', 'Casual']",2008,21300
88491,['Racing'],2006,3050
88492,['Strategy'],2006,15380
88493,['Action'],2005,19800
88494,['Strategy'],2007,15370
88495,['Strategy'],2008,19930
88496,['Casual'],2007,15350
88497,['Action'],2002,19810
88498,['Casual'],2008,3540
88499,['Indie'],2008,22000
88500,"['Action', 'Simulation', 'Strategy']",2008,2820
88501,['Action'],2008,1230
88502,"['Casual', 'Indie']",2008,18300
88503,"['Indie', 'Casual', 'Sports']",2008,20200
88504,"['Action', 'Adventure']",2008,12200
88505,['Action'],2008,19900
88506,"['Action', 'Indie', 'Strategy']",2008,11240
88507,['Simulation'],2009,256522
88508,['Simulation'],2009,275144
88509,['Simulation'],2009,256521
88510,['Simulation'],2009,222569
88511,['Simulation'],2009,256535
88512,['Simulation'],2009,256611
88513,['Simulation'],2009,256576
88514,['Action'],2009,9480
88515,['Action'],2008,17470
88516,['RPG'],2008,12770
88517,"['Action', 'Adventure']",2009,17410
88518,"['Indie', 'Strategy']",2008,18500
88519,['Action'],2009,16450
88520,"['Strategy', 'Indie']",2008,15400
88521,"['Indie', 'Strategy']",2007,18600
88522,"['Action', 'Indie']",2009,11340
88523,['Strategy'],2005,25830
88524,"['Action', 'Adventure', 'Strategy']",2009,23460
88525,['Strategy'],2009,10600
88526,['Action'],2009,21010
88527,"['Action', 'Adventure', 'Indie']",2007,22180
88528,['Action'],2007,13210
88529,['RPG'],2009,12640
88530,"['Casual', 'Strategy']",2009,21600
88531,"['Indie', 'Simulation']",2008,27020
88532,['Racing'],2009,24740
88533,['Action'],2009,90047
88534,"['Action', 'Indie']",2009,26000
